Convinaciones: 	antes	imagen	despues
JD	trenzas una en cada lado	judio (meme)	pregunta meme
JE	rojo con pelo branco	jeice	posicion de fuerzas ginyu
JF	tres bolas en la cabeza	jefe	manos de maldad (dedo con dedo)
JG	binoculares	jorgito el curioso	brocha detrás (todopintado)
JH	camisa hasta rodillas	johan	señalar con rabia (gritar)
JI	"lagrimas negras"	jiraiya	ojos blancos
JK	cara blanca,labios verdes	joker	media cara endemoniada
JL	gorro de meduza	jellyfish	alzarse por saltos (meduza)
JM	mascara (jim carrey)	jimmy neutron	reirse como pendejo
JN	bandera de mexico (Cuello)	jony b	"ese doble tempo estuvo bien verga"
JO	jordan (tenes)	johan ayala	caminar recto
JP	escarabajo en cara	jepri (dios escarabajo)	sale volando escarabajo de cara
JQ	peon	reina (ajedrez)	jaque mate
JR	queso	jerry	entrar en hueco
JS	mascara	jason	se mocha la cabeza (hacha)
JT	buso con cadena	jotaro	abraza barriga
JU	cubo raro	juan	tomar soda
JV	todo cubierto de capucha violeta	jovenes titanes (robot)	se convierte en aguila
JW	jaguarcito	jaguar	comiendo cebra
KA	tunica negra con logo chino	kaiosama	separarse los labios 
KB	ojeras moradas	kabuto	kabezon
KC	kactus	kacchan	disparar (collar con huecos)
KD	palo	kid goku	nuve
KE	traje amarillo	kelly	francotirador
KF	traje (trapos circo)	kefka	4 con los pies
KG	otros dos ojos	kaguya	saca gusano por frente
KH	baston en forma de T	kahin	miauuuu
KI	pelota grande	kiko	llorar 
KJ	moño en espalda	kijin	circulo con luz led
KL	cuatro pies	kalamardo	golpes en la cara
KM	ojos grandes	kemonito (mico)	puños arriba
KN	sin dientes	klan	"se agacha a buscar talento"
KO	morzilla (nariz)	koala	montar en arbol
KP	pico	skiper	acaricia la barriga
KQ	bolsita	shaquira	hueler
KR	esferas en la frente	krilin	gokuuuu
KS	gorro kuzco	kuzco	se convierte en cabra
KT	cicatriz ojo-espadas	kratos	maxima 
KU	negro des de ojos hasta orejas	kurama	girasol de fuego
KV	5 plumas en la cabeza	kevin	vomitar baston
KW	kiwi (fruta)	kiwi (animal)	sonido kiwi
LA	mano en sombrilla	laisa	caminar con tacones
LB	rosa en boca	lobo estepario	salen cabezas de boca
LC	pico de pato	lucas	sacar lengua y chirriar
LD	vestido (rojo con bolas negras)	ladybug	tirar yoyo
LE	boso blanco	lee	tomar leche
LF	sombrero de paja	luffy	X en el pecho
LG	una pieza	lego	se desarma en lego
LH	sudadera de la libertad	laura henao	inclinarse
LI	moño grande	lila	jutarse en un solo ojo
LJ	collar (circulo con estrella rojo)	lujuria	lijarse la uña
LK	manos del like	loki	like
LM	limones	lumiere	exprimir limon
LN	melena	leon	grujir
LO	manos atrás	lola	hablar como loca
